date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:32:58	2818/2818	---M--	200	added ('OK')	text/html	etag:%2274285d7e1de35cc7192416ce1f90ca9f%22	https://iniuntukkamu.vercel.app/	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/index.html	(from )
03:32:58	1242/1242	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%226adfcc90ff00f8025f6da35767fbe6b1%22	https://iniuntukkamu.vercel.app/robots.txt		(from )
03:32:58	2/2	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22f3b25701fe362ec84616a93a45ce9998%22	https://iniuntukkamu.vercel.app/favicon.ico	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/favicon.ico	(from https://iniuntukkamu.vercel.app/)
03:32:59	1759/1759	---MCZ	200	added ('OK')	text/css	etag:W/%2285ed32353a32cf224670da9176390732%22	https://iniuntukkamu.vercel.app/_next/static/css/eac2d8979459b915.css	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/_next/static/css/eac2d8979459b915.css	(from https://iniuntukkamu.vercel.app/)
03:32:59	39377/39377	---MCZ	200	added ('OK')	text/css	etag:W/%22f212449d17f00bc4abe637c1ff1682c5%22	https://iniuntukkamu.vercel.app/_next/static/css/461c2813990c7478.css	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/_next/static/css/461c2813990c7478.css	(from https://iniuntukkamu.vercel.app/)
03:33:00	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22846118c33b2c0e922d7b3a7676f81f6f%22	https://iniuntukkamu.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://iniuntukkamu.vercel.app/)
03:33:00	1866/1866	---MCZ	200	added ('OK')	application/javascript	etag:W/%220e787015e53939665284ca9b220eec1b%22	https://iniuntukkamu.vercel.app/_next/static/chunks/webpack-8cac0b4b405cede1.js	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/_next/static/chunks/webpack-8cac0b4b405cede1.js	(from https://iniuntukkamu.vercel.app/)
03:33:00	182797/182797	---MCZ	200	added ('OK')	application/javascript	etag:W/%224963b6c51c21c3452777cabaf491ec3f%22	https://iniuntukkamu.vercel.app/_next/static/chunks/framework-84d6ee64cdf12741.js	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/_next/static/chunks/framework-84d6ee64cdf12741.js	(from https://iniuntukkamu.vercel.app/)
03:33:01	119331/119331	---MCZ	200	added ('OK')	application/javascript	etag:W/%227480f6183377866f49a83f07865a8f82%22	https://iniuntukkamu.vercel.app/_next/static/chunks/main-5967226b86c09d72.js	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/_next/static/chunks/main-5967226b86c09d72.js	(from https://iniuntukkamu.vercel.app/)
03:33:01	1251/1251	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bdcf89020814f7a32978546be342ed9e%22	https://iniuntukkamu.vercel.app/_next/static/chunks/pages/_app-26ce5311d95a95cc.js	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/_next/static/chunks/pages/_app-26ce5311d95a95cc.js	(from https://iniuntukkamu.vercel.app/)
03:33:01	28136/28136	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ee1e71d77d45b4c4d0b7bd91996fc096%22	https://iniuntukkamu.vercel.app/_next/static/chunks/pages/index-4de71f3612864f64.js	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/_next/static/chunks/pages/index-4de71f3612864f64.js	(from https://iniuntukkamu.vercel.app/)
03:33:02	525/525	---M--	200	added ('OK')	application/javascript	etag:%22eb81d8de686b4ca696f5cf20da46fbcc%22	https://iniuntukkamu.vercel.app/_next/static/FzeLVax-qVMF_tuNMlt8t/_buildManifest.js	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/_next/static/FzeLVax-qVMF_tuNMlt8t/_buildManifest.js	(from https://iniuntukkamu.vercel.app/)
03:33:02	77/77	---M--	200	added ('OK')	application/javascript	etag:%22b6652df95db52feb4daf4eca35380933%22	https://iniuntukkamu.vercel.app/_next/static/FzeLVax-qVMF_tuNMlt8t/_ssgManifest.js	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/_next/static/FzeLVax-qVMF_tuNMlt8t/_ssgManifest.js	(from https://iniuntukkamu.vercel.app/)
03:33:07	6147271/6147271	---M--	200	added ('OK')	audio/mpeg	etag:%2231749714d3a2de724c91090a5a2ef963%22	https://iniuntukkamu.vercel.app/audio/birthday-song.mp3	D:/ULTAH%20BUBBIE/iniuntukkamu.vercel.app/audio/birthday-song.mp3	(from https://iniuntukkamu.vercel.app/)
